Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
LW,Brandon Saad (14310028),Brandon Saad,14310028,W/UTIL,4600,NYR@CHI 02/19/2020 08:00PM ET,CHI,8.76
D,Hampus Lindholm (14310350),Hampus Lindholm,14310350,D/UTIL,4600,FLA@ANH 02/19/2020 10:00PM ET,ANH,7.62
D,Keith Yandle (14310352),Keith Yandle,14310352,D/UTIL,4600,FLA@ANH 02/19/2020 10:00PM ET,FLA,8.14
C,Luke Kunin (14309810),Luke Kunin,14309810,C/UTIL,4600,MIN@VAN 02/19/2020 10:30PM ET,MIN,7.56
RW,Jake Virtanen (14310030),Jake Virtanen,14310030,W/UTIL,4600,MIN@VAN 02/19/2020 10:30PM ET,VAN,7.65
D,Adam Fox (14310356),Adam Fox,14310356,D/UTIL,4500,NYR@CHI 02/19/2020 08:00PM ET,NYR,8.16
C,Joe Pavelski (14309812),Joe Pavelski,14309812,C/UTIL,4500,ARI@DAL 02/19/2020 08:30PM ET,DAL,7.66
LW,Roope Hintz (14310032),Roope Hintz,14310032,W/UTIL,4500,ARI@DAL 02/19/2020 08:30PM ET,DAL,7.79
D,John Klingberg (14310354),John Klingberg,14310354,D/UTIL,4500,ARI@DAL 02/19/2020 08:30PM ET,DAL,8.35
RW,Mats Zuccarello (14310034),Mats Zuccarello,14310034,W/UTIL,4500,MIN@VAN 02/19/2020 10:30PM ET,MIN,7.12
D,Connor Murphy (14310358),Connor Murphy,14310358,D/UTIL,4400,NYR@CHI 02/19/2020 08:00PM ET,CHI,9.56
LW,James Neal (14310038),James Neal,14310038,W/UTIL,4400,BOS@EDM 02/19/2020 08:30PM ET,EDM,8.16
C,J.T. Compher (14309814),J.T. Compher,14309814,C/UTIL,4400,NYI@COL 02/19/2020 10:00PM ET,COL,6.70
RW,Jordan Eberle (14310036),Jordan Eberle,14310036,W/UTIL,4400,NYI@COL 02/19/2020 10:00PM ET,NYI,8.35
D,Brady Skjei (14310362),Brady Skjei,14310362,D/UTIL,4300,NYR@CHI 02/19/2020 08:00PM ET,NYR,8.38
C,Nick Schmaltz (14309816),Nick Schmaltz,14309816,C/UTIL,4300,ARI@DAL 02/19/2020 08:30PM ET,ARI,6.43
LW,Clayton Keller (14310040),Clayton Keller,14310040,W/UTIL,4300,ARI@DAL 02/19/2020 08:30PM ET,ARI,8.62
RW,Phil Kessel (14310042),Phil Kessel,14310042,W/UTIL,4300,ARI@DAL 02/19/2020 08:30PM ET,ARI,7.48
D,Cam Fowler (14310360),Cam Fowler,14310360,D/UTIL,4300,FLA@ANH 02/19/2020 10:00PM ET,ANH,7.65
C,Filip Chytil (14309818),Filip Chytil,14309818,C/UTIL,4200,NYR@CHI 02/19/2020 08:00PM ET,NYR,6.86
D,Oliver Ekman-Larsson (14310364),Oliver Ekman-Larsson,14310364,D/UTIL,4200,ARI@DAL 02/19/2020 08:30PM ET,ARI,7.62
D,Alex Goligoski (14310366),Alex Goligoski,14310366,D/UTIL,4200,ARI@DAL 02/19/2020 08:30PM ET,ARI,8.33
LW,Anthony Beauvillier (14310044),Anthony Beauvillier,14310044,W/UTIL,4200,NYI@COL 02/19/2020 10:00PM ET,NYI,8.33
LW,Frank Vatrano (14310046),Frank Vatrano,14310046,W/UTIL,4200,FLA@ANH 02/19/2020 10:00PM ET,FLA,8.25
D,Duncan Keith (14310368),Duncan Keith,14310368,D/UTIL,4100,NYR@CHI 02/19/2020 08:00PM ET,CHI,7.51
C,Derek Stepan (14309820),Derek Stepan,14309820,C/UTIL,4100,ARI@DAL 02/19/2020 08:30PM ET,ARI,7.18
RW,Alexander Radulov (14310050),Alexander Radulov,14310050,W/UTIL,4100,ARI@DAL 02/19/2020 08:30PM ET,DAL,8.87
RW,Joonas Donskoi (14310048),Joonas Donskoi,14310048,W/UTIL,4100,NYI@COL 02/19/2020 10:00PM ET,COL,7.74
D,Tyler Myers (14310370),Tyler Myers,14310370,D/UTIL,4100,MIN@VAN 02/19/2020 10:30PM ET,VAN,7.61
C,Derick Brassard (14309822),Derick Brassard,14309822,C/UTIL,4000,NYI@COL 02/19/2020 10:00PM ET,NYI,6.54
D,Erik Johnson (14310372),Erik Johnson,14310372,D/UTIL,4000,NYI@COL 02/19/2020 10:00PM ET,COL,7.49
D,Ian Cole (14310374),Ian Cole,14310374,D/UTIL,4000,NYI@COL 02/19/2020 10:00PM ET,COL,8.07
RW,Noel Acciari (14310052),Noel Acciari,14310052,W/UTIL,4000,FLA@ANH 02/19/2020 10:00PM ET,FLA,8.76
RW,Brandon Sutter (14310054),Brandon Sutter,14310054,W/UTIL,4000,MIN@VAN 02/19/2020 10:30PM ET,VAN,6.9
RW,Denis Gurianov (14310056),Denis Gurianov,14310056,W/UTIL,3900,ARI@DAL 02/19/2020 08:30PM ET,DAL,7.06
D,Esa Lindell (14310378),Esa Lindell,14310378,D/UTIL,3900,ARI@DAL 02/19/2020 08:30PM ET,DAL,7.46
D,Stephen Johns (14310380),Stephen Johns,14310380,D/UTIL,3900,ARI@DAL 02/19/2020 08:30PM ET,DAL,8.88
LW,Valeri Nichushkin (14310058),Valeri Nichushkin,14310058,W/UTIL,3900,NYI@COL 02/19/2020 10:00PM ET,COL,6.14
D,Andy Greene (14310376),Andy Greene,14310376,D/UTIL,3900,NYI@COL 02/19/2020 10:00PM ET,NYI,7.36
C,Derek Grant (14309824),Derek Grant,14309824,C/UTIL,3900,FLA@ANH 02/19/2020 10:00PM ET,ANH,6.64
LW,Kieffer Bellows (14310060),Kieffer Bellows,14310060,W/UTIL,3800,NYI@COL 02/19/2020 10:00PM ET,NYI,6.53
D,Samuel Girard (14310384),Samuel Girard,14310384,D/UTIL,3800,NYI@COL 02/19/2020 10:00PM ET,COL,7.04
RW,Brett Connolly (14310062),Brett Connolly,14310062,W/UTIL,3800,FLA@ANH 02/19/2020 10:00PM ET,FLA,6.80
D,MacKenzie Weegar (14310382),MacKenzie Weegar,14310382,D/UTIL,3800,FLA@ANH 02/19/2020 10:00PM ET,FLA,7.09
C,Joel Eriksson Ek (14309826),Joel Eriksson Ek,14309826,C/UTIL,3800,MIN@VAN 02/19/2020 10:30PM ET,MIN,6.56
D,Christopher Tanev (14310386),Christopher Tanev,14310386,D/UTIL,3800,MIN@VAN 02/19/2020 10:30PM ET,VAN,7.00
